X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
13.142935,55.701173,0,0,73,11.66,,,,,,,,,,,,,,,,,,,,,,
13.14246,55.700473,0,0,74,15.48,,,,,,,,,,,,,,,,,,,,,,
13.141907,55.699521,0,0,75,16.2,,,,,,,,,,,,,,,,,,,,,,
13.141755,55.699377,0,0,76,16.42,,,,,,,,,,,,,,,,,,,,,,
13.141543,55.699275,0,0,77,15.69,,,,,,,,,,,,,,,,,,,,,,
13.140958,55.69908,0,0,78,15.25,,,,,,,,,,,,,,,,,,,,,,
13.138954,55.69889,0,0,79,14,,,,,,,,,,,,,,,,,,,,,,
13.13799,55.698778,0,0,80,13,,,,,,,,,,,,,,,,,,,,,,
13.137025,55.698639,0,0,81,12.96,,,,,,,,,,,,,,,,,,,,,,
13.136529,55.698501,0,0,82,12.7,,,,,,,,,,,,,,,,,,,,,,
13.136288,55.698405,0,0,83,12.63,,,,,,,,,,,,,,,,,,,,,,
13.136006,55.698237,0,0,84,12,,,,,,,,,,,,,,,,,,,,,,
13.135767,55.698027,0,0,85,11.76,,,,,,,,,,,,,,,,,,,,,,
13.134959,55.69688,0,0,86,11.59,,,,,,,,,,,,,,,,,,,,,,
13.134896,55.696753,0,0,87,11.53,,,,,,,,,,,,,,,,,,,,,,
13.134892,55.696571,0,0,88,11.47,,,,,,,,,,,,,,,,,,,,,,
13.134937,55.69651,0,0,89,11.45,,,,,,,,,,,,,,,,,,,,,,
13.135124,55.696379,0,0,90,11.38,,,,,,,,,,,,,,,,,,,,,,
13.135194,55.696303,0,0,91,11.26,,,,,,,,,,,,,,,,,,,,,,
13.135415,55.696278,0,0,92,11.07,,,,,,,,,,,,,,,,,,,,,,
13.135552,55.696214,0,0,93,11.1,,,,,,,,,,,,,,,,,,,,,,
13.135629,55.696089,0,0,94,11.11,,,,,,,,,,,,,,,,,,,,,,
13.135628,55.695914,0,0,95,11.03,,,,,,,,,,,,,,,,,,,,,,
13.135567,55.695556,0,0,96,10.98,,,,,,,,,,,,,,,,,,,,,,
13.135405,55.695108,0,0,97,10.84,,,,,,,,,,,,,,,,,,,,,,
13.135049,55.694597,0,0,98,10.48,,,,,,,,,,,,,,,,,,,,,,
13.134886,55.694469,0,0,99,10.26,,,,,,,,,,,,,,,,,,,,,,
13.134691,55.694402,0,0,100,10.26,,,,,,,,,,,,,,,,,,,,,,
13.134537,55.69439,0,0,101,10.25,,,,,,,,,,,,,,,,,,,,,,
13.134237,55.694431,0,0,102,10.24,,,,,,,,,,,,,,,,,,,,,,
13.13339,55.694603,0,0,103,10.23,,,,,,,,,,,,,,,,,,,,,,
13.133184,55.694628,0,0,104,10.22,,,,,,,,,,,,,,,,,,,,,,
13.133055,55.694625,0,0,105,10.21,,,,,,,,,,,,,,,,,,,,,,
13.13293,55.694605,0,0,106,10.2,,,,,,,,,,,,,,,,,,,,,,
13.132754,55.69455,0,0,107,10.19,,,,,,,,,,,,,,,,,,,,,,
13.129346,55.693066,0,0,108,10.92,,,,,,,,,,,,,,,,,,,,,,
13.12858,55.692746,0,0,109,11.17,,,,,,,,,,,,,,,,,,,,,,
13.128325,55.69273,0,0,110,11.09,,,,,,,,,,,,,,,,,,,,,,
13.127828,55.69251,0,0,111,11.11,,,,,,,,,,,,,,,,,,,,,,
13.125615,55.691719,0,0,112,10.1,,,,,,,,,,,,,,,,,,,,,,
13.122804,55.690911,0,0,113,9,,,,,,,,,,,,,,,,,,,,,,
13.120272,55.690309,0,0,114,7.7,,,,,,,,,,,,,,,,,,,,,,
13.119387,55.690097,0,0,115,7.02,,,,,,,,,,,,,,,,,,,,,,
13.118495,55.689933,0,0,116,6.79,,,,,,,,,,,,,,,,,,,,,,
13.116905,55.689656,0,0,117,5.89,,,,,,,,,,,,,,,,,,,,,,
13.114299,55.689254,0,0,118,4.05,,,,,,,,,,,,,,,,,,,,,,
13.110156,55.688624,0,0,119,4,,,,,,,,,,,,,,,,,,,,,,
13.107458,55.688194,0,0,120,4.3,,,,,,,,,,,,,,,,,,,,,,
13.106353,55.688013,0,0,121,4.39,,,,,,,,,,,,,,,,,,,,,,
13.105294,55.687815,0,0,122,4.04,,,,,,,,,,,,,,,,,,,,,,
13.103941,55.687599,0,0,123,3.18,,,,,,,,,,,,,,,,,,,,,,
13.101737,55.687185,0,0,124,2.27,,,,,,,,,,,,,,,,,,,,,,
13.100998,55.687019,0,0,125,2.22,,,,,,,,,,,,,,,,,,,,,,
13.100629,55.686904,0,0,126,2.22,,,,,,,,,,,,,,,,,,,,,,
13.100443,55.686782,0,0,127,2.23,,,,,,,,,,,,,,,,,,,,,,
13.100353,55.686639,0,0,128,2.23,,,,,,,,,,,,,,,,,,,,,,
13.100307,55.686144,0,0,129,2.38,,,,,,,,,,,,,,,,,,,,,,
13.100152,55.685849,0,0,130,2.52,,,,,,,,,,,,,,,,,,,,,,
13.099858,55.68556,0,0,131,2.61,,,,,,,,,,,,,,,,,,,,,,
13.099183,55.684977,0,0,132,2.43,,,,,,,,,,,,,,,,,,,,,,
13.098964,55.684701,0,0,133,2.08,,,,,,,,,,,,,,,,,,,,,,
13.098775,55.684368,0,0,134,1.72,,,,,,,,,,,,,,,,,,,,,,
13.098689,55.684099,0,0,135,1.63,,,,,,,,,,,,,,,,,,,,,,
13.098645,55.683649,0,0,136,2.15,,,,,,,,,,,,,,,,,,,,,,
13.098672,55.683417,0,0,137,2.33,,,,,,,,,,,,,,,,,,,,,,
13.098741,55.683183,0,0,138,2.49,,,,,,,,,,,,,,,,,,,,,,
13.098953,55.682694,0,0,139,2.87,,,,,,,,,,,,,,,,,,,,,,
13.098956,55.682603,0,0,140,2.89,,,,,,,,,,,,,,,,,,,,,,
13.098892,55.682491,0,0,141,3.02,,,,,,,,,,,,,,,,,,,,,,
13.098789,55.682405,0,0,142,3.04,,,,,,,,,,,,,,,,,,,,,,
13.098655,55.682339,0,0,143,3.06,,,,,,,,,,,,,,,,,,,,,,
13.098378,55.682285,0,0,144,3.17,,,,,,,,,,,,,,,,,,,,,,
13.097875,55.682264,0,0,145,3,,,,,,,,,,,,,,,,,,,,,,
13.097202,55.682217,0,0,146,2.96,,,,,,,,,,,,,,,,,,,,,,
13.096831,55.682151,0,0,147,2.94,,,,,,,,,,,,,,,,,,,,,,
13.094901,55.681709,0,0,148,2.94,,,,,,,,,,,,,,,,,,,,,,
13.094603,55.682085,0,0,149,2.51,,,,,,,,,,,,,,,,,,,,,,
13.09391,55.682842,0,0,150,2.25,,,,,,,,,,,,,,,,,,,,,,
13.093143,55.683589,0,0,151,1.32,,,,,,,,,,,,,,,,,,,,,,
13.092118,55.684801,0,0,152,0.95,,,,,,,,,,,,,,,,,,,,,,
13.09154,55.685244,0,0,153,0.38,,,,,,,,,,,,,,,,,,,,,,
13.091469,55.685273,0,0,154,0.34,,,,,,,,,,,,,,,,,,,,,,
13.091374,55.685355,0,0,155,0.35,,,,,,,,,,,,,,,,,,,,,,
13.091361,55.685453,0,0,156,0.42,,,,,,,,,,,,,,,,,,,,,,
13.091431,55.685543,0,0,157,0.6,,,,,,,,,,,,,,,,,,,,,,
