X,Y,track_fid,track_seg_id,track_seg_point_id,ele
13.078835,55.682819,0,0,159,2.02
13.078563,55.682785,0,0,160,1.93
13.077407,55.68261,0,0,161,1.41
13.076893,55.682488,0,0,162,1.44
13.076259,55.682295,0,0,163,1.24
13.075511,55.681977,0,0,164,-0.23
13.07478,55.681591,0,0,165,0.6
13.074597,55.681447,0,0,166,0.67
13.074572,55.681281,0,0,167,0.73
13.074632,55.681174,0,0,168,0.75
13.074894,55.680948,0,0,169,1
13.075028,55.680899,0,0,170,0.66
13.075088,55.680859,0,0,171,0.71
13.075096,55.680803,0,0,172,0.75
13.074696,55.679962,0,0,173,-0.14
13.074374,55.679265,0,0,174,-1.33
13.073975,55.678512,0,0,175,0
13.073949,55.678474,0,0,176,0.06
13.073553,55.678516,0,0,177,0.22
13.07335,55.678511,0,0,178,0.25
13.073211,55.678491,0,0,179,0.3
13.073133,55.678461,0,0,180,0.82
13.073061,55.678419,0,0,181,0.93
13.073053,55.678353,0,0,182,0.94
13.072978,55.678347,0,0,183,1.03
13.072843,55.678331,0,0,184,1.17
13.0727,55.678306,0,0,185,1.31
13.072739,55.677965,0,0,186,1.16
13.072699,55.677798,0,0,187,1.08
13.072617,55.677653,0,0,188,1
13.072484,55.677565,0,0,189,0.91
13.072312,55.677518,0,0,190,0.81
13.072061,55.677513,0,0,191,0.82
13.071927,55.677527,0,0,192,0.82
13.071884,55.677325,0,0,193,0.41
13.071705,55.676948,0,0,194,0.1
13.071248,55.676993,0,0,195,0.34
13.070781,55.676747,0,0,196,0.65
13.070572,55.67677,0,0,197,0.93
13.070341,55.676355,0,0,198,1.1
13.070128,55.676399,0,0,199,1.18
13.070105,55.676449,0,0,200,1.19
13.070044,55.676462,0,0,201,1.21
13.069987,55.676368,0,0,202,1.31
13.069377,55.675963,0,0,203,1.98
13.069283,55.675904,0,0,204,1.93
13.06837,55.676175,0,0,205,1.31
13.068358,55.676129,0,0,206,1.32
13.067684,55.676337,0,0,207,1
13.067607,55.676289,0,0,208,1
13.067209,55.67585,0,0,209,0.63
13.067123,55.675801,0,0,210,0.67
13.06502,55.675683,0,0,211,0
13.064255,55.675643,0,0,212,0
13.063816,55.675677,0,0,213,0.01
13.062521,55.675807,0,0,214,1.06
13.062228,55.675838,0,0,215,1.43
13.062115,55.67578,0,0,216,0.97
13.060339,55.675959,0,0,217,-0.19
13.060144,55.676022,0,0,218,-0.48
13.059191,55.67612,0,0,219,-1.33
13.059122,55.676084,0,0,220,-1.27
13.058146,55.67615,0,0,221,-0.55
